date,adm_level,adm_id,PCODE,n_pixels,vim,vim_avg,viq
2016-01-01,2,1007533,ET0501,1004.0,0.13748167,0.14978214,93.84306
2016-01-11,2,1007533,ET0501,1004.0,0.13698086,0.14795063,94.458336
2016-01-21,2,1007533,ET0501,1004.0,0.13614073,0.14650586,94.72529
2016-02-01,2,1007533,ET0501,1004.0,0.13478027,0.14477026,94.87088
2016-02-11,2,1007533,ET0501,1004.0,0.13375148,0.14311577,95.15094
2016-02-21,2,1007533,ET0501,1004.0,0.13216175,0.14228249,94.73653
2016-03-01,2,1007533,ET0501,1004.0,0.130349,0.14264342,93.61804
2016-03-11,2,1007533,ET0501,1004.0,0.12854621,0.14481947,91.64701
2016-03-21,2,1007533,ET0501,1004.0,0.12815079,0.14966479,89.22494
2016-04-01,2,1007533,ET0501,1004.0,0.13438585,0.15678474,89.168015
2016-04-11,2,1007533,ET0501,1004.0,0.15253654,0.16450837,94.418945
2016-04-21,2,1007533,ET0501,1004.0,0.18401653,0.17163344,105.58718
2016-05-01,2,1007533,ET0501,1004.0,0.22423208,0.17548577,121.61834
2016-05-11,2,1007533,ET0501,1004.0,0.25305727,0.17396128,135.31682
2016-05-21,2,1007533,ET0501,1004.0,0.25075796,0.16698985,138.60463
2016-06-01,2,1007533,ET0501,1004.0,0.22110756,0.15666857,131.17987
2016-06-11,2,1007533,ET0501,1004.0,0.1900229,0.14699134,121.84439
2016-06-21,2,1007533,ET0501,1004.0,0.1684005,0.14070287,114.52396
2016-07-01,2,1007533,ET0501,1004.0,0.16190249,0.13885966,112.20102
2016-07-11,2,1007533,ET0501,1004.0,0.170073,0.14299741,114.02898
2016-07-21,2,1007533,ET0501,1004.0,0.19162011,0.15420593,118.321785
2016-08-01,2,1007533,ET0501,1004.0,0.21949291,0.17070317,122.10651
2016-08-11,2,1007533,ET0501,1004.0,0.23936173,0.1876744,121.747116
2016-08-21,2,1007533,ET0501,1004.0,0.24248932,0.2009933,116.53272
2016-09-01,2,1007533,ET0501,1004.0,0.22999272,0.20620728,109.283676
2016-09-11,2,1007533,ET0501,1004.0,0.21261872,0.20297088,103.813805
2016-09-21,2,1007533,ET0501,1004.0,0.19661842,0.19428053,100.95704
2016-10-01,2,1007533,ET0501,1004.0,0.18388246,0.18388295,99.999794
2016-10-11,2,1007533,ET0501,1004.0,0.17390776,0.17477576,99.61383
2016-10-21,2,1007533,ET0501,1004.0,0.16654302,0.1675058,99.55734
2016-11-01,2,1007533,ET0501,1004.0,0.1615734,0.16221264,99.69876
2016-11-11,2,1007533,ET0501,1004.0,0.15860029,0.15882115,99.89424
2016-11-21,2,1007533,ET0501,1004.0,0.15699422,0.15659507,100.193214
2016-12-01,2,1007533,ET0501,1004.0,0.15715826,0.15510027,101.003395
2016-12-11,2,1007533,ET0501,1004.0,0.15750119,0.15370105,101.865555
2016-12-21,2,1007533,ET0501,1004.0,0.15637729,0.15196706,102.18364
2017-01-01,2,1007533,ET0501,1004.0,0.15367688,0.14978214,101.9495
2017-01-11,2,1007533,ET0501,1004.0,0.15062699,0.14795063,101.352036
2017-01-21,2,1007533,ET0501,1004.0,0.14748654,0.14650586,100.499054
2017-02-01,2,1007533,ET0501,1004.0,0.14552191,0.14477026,100.38592
2017-02-11,2,1007533,ET0501,1004.0,0.14646652,0.14311577,101.73509
2017-02-21,2,1007533,ET0501,1004.0,0.14944999,0.14228249,103.72759
2017-03-01,2,1007533,ET0501,1004.0,0.15151604,0.14264342,104.60572
2017-03-11,2,1007533,ET0501,1004.0,0.15159811,0.14481947,103.47945
2017-03-21,2,1007533,ET0501,1004.0,0.1522462,0.14966479,101.29287
2017-04-01,2,1007533,ET0501,1004.0,0.15548027,0.15678474,99.36917
2017-04-11,2,1007533,ET0501,1004.0,0.15778834,0.16450837,96.86723
2017-04-21,2,1007533,ET0501,1004.0,0.15828067,0.17163344,93.97529
2017-05-01,2,1007533,ET0501,1004.0,0.1601965,0.17548577,93.219406
2017-05-11,2,1007533,ET0501,1004.0,0.1638504,0.17396128,95.48543
2017-05-21,2,1007533,ET0501,1004.0,0.16598615,0.16698985,99.53745
2017-06-01,2,1007533,ET0501,1004.0,0.16208884,0.15666857,102.62269
2017-06-11,2,1007533,ET0501,1004.0,0.15421285,0.14699134,103.6659
2017-06-21,2,1007533,ET0501,1004.0,0.14561075,0.14070287,102.57357
2017-07-01,2,1007533,ET0501,1004.0,0.13888146,0.13885966,100.011536
2017-07-11,2,1007533,ET0501,1004.0,0.13716204,0.14299741,96.97645
2017-07-21,2,1007533,ET0501,1004.0,0.14199044,0.15420593,94.01805
2017-08-01,2,1007533,ET0501,1004.0,0.15222938,0.17070317,91.62958
2017-08-11,2,1007533,ET0501,1004.0,0.16682151,0.1876744,91.22627
2017-08-21,2,1007533,ET0501,1004.0,0.18431285,0.2009933,93.35422
2017-09-01,2,1007533,ET0501,1004.0,0.19878057,0.20620728,97.10129
2017-09-11,2,1007533,ET0501,1004.0,0.20429473,0.20297088,100.523315
2017-09-21,2,1007533,ET0501,1004.0,0.20192948,0.19428053,103.13121
2017-10-01,2,1007533,ET0501,1004.0,0.19424284,0.18388295,104.429504
2017-10-11,2,1007533,ET0501,1004.0,0.18366285,0.17477576,103.95374
2017-10-21,2,1007533,ET0501,1004.0,0.1732501,0.1675058,102.64098
2017-11-01,2,1007533,ET0501,1004.0,0.16518556,0.16221264,101.40091
2017-11-11,2,1007533,ET0501,1004.0,0.15952131,0.15882115,100.3353
2017-11-21,2,1007533,ET0501,1004.0,0.15442659,0.15659507,98.95037
2017-12-01,2,1007533,ET0501,1004.0,0.15091075,0.15510027,97.95732
2017-12-11,2,1007533,ET0501,1004.0,0.14919142,0.15370105,97.786156
2017-12-21,2,1007533,ET0501,1004.0,0.14811534,0.15196706,98.092896
2018-01-01,2,1007533,ET0501,1004.0,0.14646015,0.14978214,98.3372
2018-01-11,2,1007533,ET0501,1004.0,0.14424004,0.14795063,98.125496
2018-01-21,2,1007533,ET0501,1004.0,0.14221036,0.14650586,97.814064
2018-02-01,2,1007533,ET0501,1004.0,0.14096881,0.14477026,98.04825
2018-02-11,2,1007533,ET0501,1004.0,0.14024243,0.14311577,98.51211
2018-02-21,2,1007533,ET0501,1004.0,0.13983196,0.14228249,98.725555
2018-03-01,2,1007533,ET0501,1004.0,0.14034073,0.14264342,98.80469
2018-03-11,2,1007533,ET0501,1004.0,0.14206225,0.14481947,98.58473
2018-03-21,2,1007533,ET0501,1004.0,0.14551096,0.14966479,97.91959
2018-04-01,2,1007533,ET0501,1004.0,0.15256543,0.15678474,97.95957
2018-04-11,2,1007533,ET0501,1004.0,0.16235428,0.16450837,98.995804
2018-04-21,2,1007533,ET0501,1004.0,0.17133197,0.17163344,99.86398
2018-05-01,2,1007533,ET0501,1004.0,0.17538486,0.17548577,99.95524
2018-05-11,2,1007533,ET0501,1004.0,0.17330597,0.17396128,99.707405
2018-05-21,2,1007533,ET0501,1004.0,0.16830069,0.16698985,100.6041
2018-06-01,2,1007533,ET0501,1004.0,0.16115429,0.15666857,102.170494
2018-06-11,2,1007533,ET0501,1004.0,0.15125658,0.14699134,102.165184
2018-06-21,2,1007533,ET0501,1004.0,0.14368147,0.14070287,101.561905
2018-07-01,2,1007533,ET0501,1004.0,0.14358984,0.13885966,102.5046
2018-07-11,2,1007533,ET0501,1004.0,0.15041961,0.14299741,103.84575
2018-07-21,2,1007533,ET0501,1004.0,0.16034234,0.15420593,103.005005
2018-08-01,2,1007533,ET0501,1004.0,0.17199959,0.17070317,100.58742
2018-08-11,2,1007533,ET0501,1004.0,0.18493795,0.1876744,98.84865
2018-08-21,2,1007533,ET0501,1004.0,0.19778545,0.2009933,98.72193
2018-09-01,2,1007533,ET0501,1004.0,0.20715417,0.20620728,100.36958
2018-09-11,2,1007533,ET0501,1004.0,0.20674808,0.20297088,101.49313
2018-09-21,2,1007533,ET0501,1004.0,0.19784252,0.19428053,101.45815
2018-10-01,2,1007533,ET0501,1004.0,0.18639313,0.18388295,101.07325
2018-10-11,2,1007533,ET0501,1004.0,0.17817919,0.17477576,101.51414
2018-10-21,2,1007533,ET0501,1004.0,0.1744255,0.1675058,103.18137
2018-11-01,2,1007533,ET0501,1004.0,0.1726235,0.16221264,104.90587
2018-11-11,2,1007533,ET0501,1004.0,0.17063515,0.15882115,105.657486
2018-11-21,2,1007533,ET0501,1004.0,0.16766025,0.15659507,105.35598
2018-12-01,2,1007533,ET0501,1004.0,0.16413714,0.15510027,104.40607
2018-12-11,2,1007533,ET0501,1004.0,0.16051315,0.15370105,103.344154
2018-12-21,2,1007533,ET0501,1004.0,0.15687379,0.15196706,102.429474
2019-01-01,2,1007533,ET0501,1004.0,0.15351872,0.14978214,101.87033
2019-01-11,2,1007533,ET0501,1004.0,0.15048954,0.14795063,101.28259
2019-01-21,2,1007533,ET0501,1004.0,0.14678137,0.14650586,100.140205
2019-02-01,2,1007533,ET0501,1004.0,0.14337948,0.14477026,99.285934
2019-02-11,2,1007533,ET0501,1004.0,0.14105497,0.14311577,98.93287
2019-02-21,2,1007533,ET0501,1004.0,0.14009571,0.14228249,98.862724
2019-03-01,2,1007533,ET0501,1004.0,0.1400238,0.14264342,98.640175
2019-03-11,2,1007533,ET0501,1004.0,0.13996264,0.14481947,97.50701
2019-03-21,2,1007533,ET0501,1004.0,0.14099003,0.14966479,95.65534
2019-04-01,2,1007533,ET0501,1004.0,0.14445876,0.15678474,94.03922
2019-04-11,2,1007533,ET0501,1004.0,0.14994562,0.16450837,93.211105
2019-04-21,2,1007533,ET0501,1004.0,0.15662947,0.17163344,93.230286
2019-05-01,2,1007533,ET0501,1004.0,0.16263017,0.17548577,94.298706
2019-05-11,2,1007533,ET0501,1004.0,0.16807957,0.17396128,97.37379
2019-05-21,2,1007533,ET0501,1004.0,0.17361185,0.16698985,103.05177
2019-06-01,2,1007533,ET0501,1004.0,0.17511244,0.15666857,108.92438
2019-06-11,2,1007533,ET0501,1004.0,0.17183027,0.14699134,112.609146
2019-06-21,2,1007533,ET0501,1004.0,0.16550069,0.14070287,113.00337
2019-07-01,2,1007533,ET0501,1004.0,0.16046882,0.13885966,111.44191
2019-07-11,2,1007533,ET0501,1004.0,0.15926573,0.14299741,108.429276
2019-07-21,2,1007533,ET0501,1004.0,0.16326015,0.15420593,104.43387
2019-08-01,2,1007533,ET0501,1004.0,0.17256841,0.17070317,100.84513
2019-08-11,2,1007533,ET0501,1004.0,0.18561982,0.1876744,99.135544
2019-08-21,2,1007533,ET0501,1004.0,0.19908924,0.2009933,99.241394
2019-09-01,2,1007533,ET0501,1004.0,0.2067997,0.20620728,100.23123
2019-09-11,2,1007533,ET0501,1004.0,0.21133944,0.20297088,103.308105
2019-09-21,2,1007533,ET0501,1004.0,0.21700308,0.19428053,109.30182
2019-10-01,2,1007533,ET0501,1004.0,0.22115397,0.18388295,115.93575
2019-10-11,2,1007533,ET0501,1004.0,0.21827102,0.17477576,119.3505
2019-10-21,2,1007533,ET0501,1004.0,0.20803356,0.1675058,118.63296
2019-11-01,2,1007533,ET0501,1004.0,0.19543315,0.16221264,115.65435
2019-11-11,2,1007533,ET0501,1004.0,0.1857229,0.15882115,112.882675
2019-11-21,2,1007533,ET0501,1004.0,0.18098038,0.15659507,111.80342
2019-12-01,2,1007533,ET0501,1004.0,0.18065658,0.15510027,112.46039
2019-12-11,2,1007533,ET0501,1004.0,0.18176393,0.15370105,113.776505
2019-12-21,2,1007533,ET0501,1004.0,0.1808758,0.15196706,114.313576
2020-01-01,2,1007533,ET0501,1004.0,0.17732868,0.14978214,113.78829
2020-01-11,2,1007533,ET0501,1004.0,0.17274053,0.14795063,112.52327
2020-01-21,2,1007533,ET0501,1004.0,0.16665299,0.14650586,110.25268
2020-02-01,2,1007533,ET0501,1004.0,0.16042699,0.14477026,108.03857
2020-02-11,2,1007533,ET0501,1004.0,0.15485936,0.14311577,106.081116
2020-02-21,2,1007533,ET0501,1004.0,0.14978167,0.14228249,103.900085
2020-03-01,2,1007533,ET0501,1004.0,0.14631404,0.14264342,101.905396
2020-03-11,2,1007533,ET0501,1004.0,0.14729731,0.14481947,101.271866
2020-03-21,2,1007533,ET0501,1004.0,0.15527011,0.14966479,102.807365
2020-04-01,2,1007533,ET0501,1004.0,0.16982998,0.15678474,106.3086
2020-04-11,2,1007533,ET0501,1004.0,0.18866684,0.16450837,111.26225
2020-04-21,2,1007533,ET0501,1004.0,0.20808236,0.17163344,116.44559
2020-05-01,2,1007533,ET0501,1004.0,0.22051054,0.17548577,119.96789
2020-05-11,2,1007533,ET0501,1004.0,0.2212995,0.17396128,121.136795
2020-05-21,2,1007533,ET0501,1004.0,0.21052639,0.16698985,120.063866
2020-06-01,2,1007533,ET0501,1004.0,0.19552708,0.15666857,118.80233
2020-06-11,2,1007533,ET0501,1004.0,0.18185239,0.14699134,117.69674
2020-06-21,2,1007533,ET0501,1004.0,0.17070498,0.14070287,115.73238
2020-07-01,2,1007533,ET0501,1004.0,0.1648977,0.13885966,113.78697
2020-07-11,2,1007533,ET0501,1004.0,0.16665,0.14299741,112.25539
2020-07-21,2,1007533,ET0501,1004.0,0.17918196,0.15420593,112.23081
2020-08-01,2,1007533,ET0501,1004.0,0.20207588,0.17070317,114.21488
2020-08-11,2,1007533,ET0501,1004.0,0.22843055,0.1876744,117.14789
2020-08-21,2,1007533,ET0501,1004.0,0.25467342,0.2009933,121.38706
2020-09-01,2,1007533,ET0501,1004.0,0.2710225,0.20620728,125.297966
2020-09-11,2,1007533,ET0501,1004.0,0.27345556,0.20297088,127.86276
2020-09-21,2,1007533,ET0501,1004.0,0.2586782,0.19428053,126.36217
2020-10-01,2,1007533,ET0501,1004.0,0.2349759,0.18388295,121.84552
2020-10-11,2,1007533,ET0501,1004.0,0.21227121,0.17477576,116.68127
2020-10-21,2,1007533,ET0501,1004.0,0.19473556,0.1675058,112.51909
2020-11-01,2,1007533,ET0501,1004.0,0.18401901,0.16221264,110.27572
2020-11-11,2,1007533,ET0501,1004.0,0.17864731,0.15882115,109.49433
2020-11-21,2,1007533,ET0501,1004.0,0.17528695,0.15659507,109.04761
2020-12-01,2,1007533,ET0501,1004.0,0.17282808,0.15510027,108.64347
2020-12-11,2,1007533,ET0501,1004.0,0.17038894,0.15370105,108.19235
2020-12-21,2,1007533,ET0501,1004.0,0.16741264,0.15196706,107.647575
2021-01-01,2,1007533,ET0501,1004.0,0.1629956,0.14978214,106.61394
2021-01-11,2,1007533,ET0501,1004.0,0.15862499,0.14795063,105.39243
2021-01-21,2,1007533,ET0501,1004.0,0.15613475,0.14650586,104.90006
2021-02-01,2,1007533,ET0501,1004.0,0.15499899,0.14477026,105.25169
2021-02-11,2,1007533,ET0501,1004.0,0.15406264,0.14311577,105.66855
2021-02-21,2,1007533,ET0501,1004.0,0.15226643,0.14228249,105.19233
